,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00045,107.16118,0.0,0.0,0.0,,182.0,0.35,48 x 34,0.3,0.35,10.0,0.2,0.25,98 x 55,0.2,-1.0,0.0,0.0,0.0,0.0,,830.0,0.1,0.012
1,1,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00059,97.04537,0.0,0.0,0.0,,,0.2,28 x 3112,0.19,0.26,11.0,0.86,1.2,1548 x 423,0.95,-0.99964,0.0,0.0,0.0,0.0,,864.0,0.9,0.087
2,2,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00051,88.56834,0.0,0.0,0.0,,124.0,0.1,0 x 254,0.0,0.09,12.0,1.09,1.7,997 x 221,1.35,-1.0,0.0,0.0,0.0,0.0,,285.0,1.9,0.186
3,3,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.0003,81.36528,0.0,0.0,0.0,,563.0,0.05,0 x 2129,0.0,0.04,13.0,2.24,3.5,641 x 311,2.95,-1.0,0.0,0.0,0.0,0.0,,21.0,2.9,0.285
4,4,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00042,75.1719,0.0,0.0,0.0,,0.0,0.1,0 x 2446,0.0,0.05,14.0,2.74,4.01,905 x 261,2.8,-0.99979,0.0,0.0,0.0,0.0,,2.0,3.9,0.383
5,5,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00079,69.7921,0.0,0.0,0.0,,0.0,0.05,0 x 3260,0.0,0.05,15.0,3.8,5.0,829 x 231,3.8,-1.0,0.0,0.0,0.0,0.0,,2.0,4.9,0.482
6,6,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00028,65.07764,0.0,0.0,0.0,,0.0,0.05,0 x 364,0.0,0.05,16.0,4.7,6.0,691 x 261,0.0,-0.99969,0.0,0.0,0.0,0.0,,,5.9,0.581
7,7,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.0001,60.91391,0.0,0.0,0.0,,,0.0,0 x 1982,0.0,0.05,17.0,5.7,7.0,310 x 20,5.79,-1.0,-355271.36788,0.0,0.0,0.0,,1.0,6.9,0.68
8,8,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00028,57.21107,0.0,0.0,0.0,,,0.0,0 x 317,0.0,0.05,18.0,6.69,8.01,300 x 20,0.0,-1.0,-355271.36787,0.0,0.0,0.0,,,7.9,0.779
9,9,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00039,53.8979,0.0,0.0,0.0,,0.0,0.02,0 x 2215,0.0,0.04,19.0,7.7,9.0,300 x 20,0.0,-0.99981,-355271.36783,0.0,0.0,0.0,,,8.9,0.877
10,10,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00062,50.9169,0.0,0.0,0.0,,,0.0,0 x 1609,0.0,0.05,20.0,8.7,10.0,300 x 20,0.0,-0.99962,-355271.36787,0.0,0.0,0.0,,,9.9,0.976
11,11,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00013,48.22157,0.0,0.0,0.0,,,0.0,0 x 1592,0.0,0.05,21.0,9.71,11.2,40 x 30,0.0,-1.0,-355271.36784,0.0,0.0,0.0,,,10.9,1.075
12,12,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00034,45.77326,0.0,0.0,0.0,,,0.0,0 x 1168,0.0,0.05,22.0,10.7,12.2,40 x 30,0.0,-1.0,-355271.3679,0.0,0.0,0.0,,,11.9,1.174
13,13,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00048,43.54026,0.0,0.0,0.0,,,0.0,0 x 1149,0.0,0.05,23.0,11.7,13.2,40 x 30,0.0,-1.0,-355271.36792,0.0,0.0,0.0,,,12.9,1.273
14,14,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00015,41.49588,0.0,0.0,0.0,,,0.0,0 x 1079,0.0,0.05,24.0,12.7,14.2,40 x 30,0.0,-1.0,-355271.36787,0.0,0.0,0.0,,,13.9,1.372
15,15,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00042,39.61778,0.0,0.0,0.0,,,0.0,0 x 2304,0.0,0.05,25.0,13.71,15.2,40 x 30,0.0,-0.99993,-355271.36783,0.0,0.0,0.0,,,14.9,1.47
16,16,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00031,37.88684,0.0,0.0,0.0,,,0.0,0 x 256,0.0,0.04,26.0,14.7,16.19,40 x 30,0.0,-1.0,-355271.36784,0.0,0.0,0.0,,,15.9,1.569
17,17,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00033,36.28683,0.0,0.0,0.0,,,0.0,0 x 256,0.0,0.05,27.0,15.7,17.2,40 x 30,0.0,-0.99979,-355271.36789,0.0,0.0,0.0,,,16.9,1.668
18,18,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00054,34.80368,0.0,0.0,0.0,,,0.0,0 x 253,0.0,0.05,28.0,16.7,18.2,40 x 30,0.0,-1.0,-355271.36785,0.0,0.0,0.0,,,17.9,1.767
19,19,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.0,33.42549,0.0,0.0,0.0,,,0.0,0 x 223,0.0,0.05,29.0,17.7,19.2,40 x 30,0.0,-1.0,-355271.36787,0.0,0.0,0.0,,,18.9,1.866
20,20,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00067,32.14179,0.0,0.0,0.0,,,0.0,0 x 289,0.0,0.05,30.0,18.7,20.2,40 x 30,0.0,-1.0,-355271.36789,0.0,0.0,0.0,,,19.9,1.964
21,21,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.0,29.82198,0.0,0.0,0.0,,,0.0,0 x 183,0.0,0.05,32.0,21.2,22.7,40 x 30,0.0,-0.99974,-355271.36787,0.0,0.0,0.0,,,21.9,2.162
22,22,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00015,26.85534,0.0,0.0,0.0,,,0.0,0 x 189,0.0,0.06,35.0,23.69,25.2,40 x 30,0.0,-0.9994,710542.73576,0.0,0.0,0.0,,,24.9,2.458
23,23,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00067,25.15458,0.0,0.0,0.0,,,0.0,0 x 191,0.0,0.05,37.0,25.9,28.0,1 x 1,0.0,-1.0,710542.73575,0.0,0.0,0.0,,,26.9,2.656
24,24,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00012,22.93526,0.0,0.0,0.0,,,0.0,0 x 226,0.0,0.05,40.0,28.4,30.5,1 x 1,0.0,-0.9994,710542.7358,0.0,0.0,0.0,,,29.9,2.953
25,25,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.0,21.63963,0.0,0.0,0.0,,,0.0,0 x 251,0.0,0.06,42.0,30.9,33.0,1 x 1,0.0,-0.9999,710542.73575,0.0,0.0,0.0,,,31.9,3.15
26,26,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-02,1493755200,1,0.00044,19.92251,0.0,0.0,0.0,,,0.0,0 x 191,0.0,0.05,45.0,33.4,35.5,1 x 1,0.0,-0.99998,710542.73577,0.0,0.0,0.0,,,34.9,3.447
27,27,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-09,1494360000,8,0.00126,107.16146,0.0,0.0,0.0,,510.0,0.95,3 x 3,0.85,1.29,10.0,0.0,0.1,0 x 105,0.05,-0.99973,0.0,0.0,0.0,0.0,,,0.1,0.012
28,28,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-09,1494360000,8,0.00119,97.04551,0.0,0.0,0.0,,509.0,0.46,233 x 1,0.45,0.65,11.0,0.65,1.1,1 x 100,1.66,-1.0,0.0,0.0,0.0,0.0,,747.0,0.9,0.087
29,29,1493668800,2017-05-01 16:00,2017-05-01,16.0,10.12,2017-05-09,1494360000,8,0.00116,88.5685,0.0,0.0,0.0,,229.0,0.45,227 x 20,0.35,0.55,12.0,1.35,2.11,1 x 100,2.51,-0.99996,0.0,0.0,0.0,0.0,,9.0,1.9,0.186
